"","TWEETS"
"1","aseche ami item bomb,hate bajar a item bomb..... rockkkkk....."
"2","ami korini maa bipodtarini asirbad amar bhai k jeno sab bipad theke save koren. bhalo thak"
"3","ami korini maa bipodtarini asirbad amar bhai k jeno sab bipad theke save koren. bhalo thako amar chhotto bhai"
"4","ami bollm twitter a wlcm"
"5","ami aktu busy chilsm go"
"6","didi, ami tomar khub boro fan. raajkahini te tomar acting osadharon chhilo. lots of love!"
"7","ami kamon bolbo ""10 days till india""? kolkata, india"
"8","er episode aro bhalo hobe..ami to jst wait kore achi..tarpor eksathe feebback ta debo"
"9","mone ache drlng..... sei taler bra churi kore kheyechilam ami r sayani r rubaiya.."
"10","thank you for the information"
"11","sorry m update???"
"12","dear any information about honor 5x l update????"
"13","suparna sreeja ota opel astra oii kach er ghore rakha jetake ami ettodin toyoto bhabtam :p"
"14","ami jai tahole ekhn ...."
"15","amio ekta idiot sotti , esab kotha tomay keno bolchi ami god knows .. tomar thodai kichu jay asbe esab sune , silly me"
"16","ektu kharap to lagchei but ki korbo bolo maybe erokom bhabei acting sikhbo ami :("
"17","ki korbo bolo ami ki aage kokhno acting korechi , ki kore sab thikthak kore korbo ami etto taratari :("
"18","ami valo achi... tumi kemon acho?"
"19","""chholo chholo kichu golpo bolte, ek chena roopkothar pothe notunbhabe cholte... aschi ami.. ..with kiranmala 8pm"
"20","loved it... ami valo achi.. tumi kemon acho?"
"21","nijer bill payment korini store a giye episode ta jate miss na hoy..hai 're ki dosha amar.."
"22","ei dekho amar bow! &lt;"
"23","hmm.amar bow ke dekhbe!?"
"24","swapna amar hariye geche..."
"25","travelled back in time with his co-star singing chirodini tumi je amar, for t2!"
"26","badshah.. don badshah amar naam...biggest blockbuster of this year"
"27","ha setai ! amr kachei tao ekdm family r mto ! sobbai vishon priyo amar ! :)"
"28","ei tok msg pathanor jonno amar 'msg'-r sine ta asche na..."
"29","hii friends or amar bharotbasi sabika janai pronam"
"30","koto kosto amar :("
"31","""joto din manush amar pashe ache, ei khobor er kagoj amar kichchu parbe na"" - dialogue of the da"
"32","""joto din manush amar pashe ache, ei khobor er kagoj amar kichchu parbe na"" - dialogue of the day"
"33","amaro tomar moto aki problem. kintu amar delete kore diyechi!"
"34","yeh sallu ka fan hai amar"
"35","bb waa gd..bt 3 idiots ke level ka nehi..bt right..i cried when munni got seperated frm her mom"
"36","ha"
"37","she praised ur eyes"
"38","tomader jonno tumi je amar e thakchhe 'tui amar hero.'"
"39","vai amr blck pen ta ki r pbo????somsubhra mandalal"
"40","bari chole aye amr mesmerizing mohenjodaro album"
"41","thnx tomader jara amr gift hisebe amy prochur suveccha dycho.. tomader valobasa r ashirbad sorboda kammo... feeling thankful"
"42","sumit da jekhne bllo ? hindi movies ? ha monday amr bri chole aye :) bst hoi"
"43","yeah baby !!! sotti tr mto caring frnd amr khb kom ache.... love u a lottt too ...."
"44","ajkal lok er amr bapare prochur utsaho dekhte pacchi tader aktai request je nijer kaj koro onner bapare onno ke..."
"45","if u aren't a salman khan fan...this one will turn u into one.. watching sultan"
"46","thank you so so much..... akhn amr sttie sttie complete hlo... thnx a lot..."
"47","chotolok,overdo meye dekhechi kintu er moto dekhini nijer personal nijer life fb kno sara would a post kor amr..."
"48","amr paye eto kata ache , dekhle choke jol chole ase!"
"49","tmr hasi ta amr khub sundur lage tmr chokh ta amr khub bhalo lage i love you subhashree"
"50","da amra tmr dewaana...... amr as6e 15th july..... sedin tumi wish krbe to daa plzz???"
"51","hiii solankidi r vikramda... aj amr 20th akta wsh pte pari ki tmadr thke??"
"52","dhonnobad sokolke ... sokoler suveccha amr ei dintake aro sundor kore tuleche. kamona kori.... sokole jeno khub..."
"53","nekir sala chhoto holee amr cheye maar kheye jeto"
"54","salaa amr mayer bon ...maane chagool janoar kotoo rokumer hoy o joljanto ex! ami nehaat mukhh khulinaa mukh khulle bachtona"
"55","bolechilmm 2nd hoboo amr jordar competitor sei holo kintuu seriously amr prize taai bestttt"
"56","jiyo jiyo..team daruuuun film..amr dkha bengali film e sera comedy.. &amp; thnx to raja da.kb sundor bniyecha."
"57","hai.tumi amake bhulei gecho."
"58","amake follow back krbe.. tahole tomay dm parbo"
"59","na amar chai abar arrange kor amake love kore keu kichu dae na u know that"
"60","tui bhalo kre nijer mind remind kore dkh. ektaao kharap kotha blini tke ami. tui amake idaning bole jachhis ""don't mention me""."
"61","amar bhalo ktha gulo ke tui blbi jhogra chaichhi ami. r tui khaali amake blis ment krbina. othrs kauke to blisna erom ??"
"62","same to u khub siggir dekhte pacho amake moviete"
"63","amake wish bhule gele."
"64","ja amake to dibi na"
"65","ishhhhhh tor jail hbe amake opoman kr6s physics niye"
"66","keo bolben ..ami dekhlam amar friend list a aneker chobi dekhachchena.abar dekhlam keo amake blk koreche.keo bolben ashole ki"
"67","dy tumi amake b'day te wish korle na...kano? tomar songe kutty;p apne aisa kyu kiya? chhoti behen ko dukh"
"68","dy tumi amake b'day te wish korle na...kano? tomar songe kutty;p apne aisa kyu kiya? chhoti behen ko dukh dete ho?"
"69","korona ajob toh.. tumi ba kon vip je mail khule amake gaan shunte hobe fuurrrr"
"70","omago ki shouvaggo baba amake tag koreche! dhonnobad didi_^_ kintu dukher bishoye holo amar file korchena"
"71","bhut bhabis amake naki durrhooo"
"72","kaal dupur 12pm office jete hobe amake. ami vodafone er cce er job pelam. kaal film ta dkhte parbona. tai sad."
"73","otai to chaichi, amake to r pochondo kore na, tai oggyan hoyei jak.."
"74","amake reply site bhule u"
"75","hi honey tumi to amake bhule e gele...amar ekta twt o dkhle na...very sad....but very very much happy to c anurag back"
"76","jehetu ami saree pore ghumote jaai ar saree pore ghum theke uthi, tai sonalidi amake ei saree game er circus e..."
"77","gdeveng aunty tumi ki sotti rijuk katti kore dile akdom vule gele aunty? tumi amak aktao ans korona khub kosto hoe aunty lol."
"78","ashole ota diye hoche na...tai chandi di bolo amak bari giye pic sent korbesorrryyyyy"
"79","kemon acho aunty? tumi ki sotti rijuk vule gele? koto kichu share korechi tomar sathe aktaro ans daoni ignore korcho ki amak?"
"80","ariiii tomar sathe tumi amak kono reply e daona"
"81","tomak ami koto miss korechi tumi miss korecho amak???"
"82","ami tomar opor rege achi tumi amak exam er jonno best of luck boloni..."
"83","parle ekbar dekho...ajkal toh tumi amak notice e korona..."
"84","tumi toh amak reply e korle na"
"85","akhon r korena..akhon amak vule geche..."
"86","amar mone hoi tumi amak ekdomi vule gecho titly bole keu ache kina vule gecho tai na???"
"87","atlast tumi online ashle amak mone ache???"
"88","amak toh best of luck o boleni exam er jonnounlucky me"
"89","tomar toh amak monei nei..."
"90","tmi sbik wish kro bday bt amk kroni evn ki rly o daoni aktao.ok charo.gd.nt luv u"
"91","ei iv ta jodi you tube e upload hy amk ektu link ta dibi plz??"
"92","na..amk kine deben??waiting fr u.."
"93","tmr janno amk riya kotogulo ktha sonano . ami ki kno tweet e dev k om er sate compare krechi?"
"94","bole erokom khilli korbe ha!!!! leo messi kina friend request pathacche amk :d :d :d xd"
"95","amk amr mto thakte dao"
"96","hi di ami sayan....suman mama amr mama hoi.....tmi amk vai bolte paro"
"97","tui amk unfollow kore dili nki ?"
"98","photoshop lighting effects tutorial!(2016)(beginners): via"
"99","jibone biri 6ulam na r amk nia eisb :-o"
"100","3 mas akhono.aber pujo 21 tarik a mone hoi.abar eid er dete je tarike chilo sei tarike amader pujo"
"101","oh.r abar to bisti hoto na.kintu eid to diner din holo na. jedin eid chilo sedin amader rathyatra chilo khub enjoy korchi"
"102","darun hoyeche jeet er track ta...amader kache sona sona..but national audience er kache new...:)..waiting.."
"103","amader parar raju da"
"104","kaal samrat mukherjee asbe class nite amader ..."
"105","ai sb tweet rakhar thaka apnar name.amader mto fan a der mra jaya bhalo pls apni indra da ka open chalange karun...."
"106","thanx dear.ekdom tai, amader shobar moner kotha"
"107","aaj smpai hajra te amader class korate mom bhattacharya bole ekjon asbe , uni acting skills sekhaben amader"
"108","mahanaika amader chere chole jaoate amra govir vabe sokahoto....."
"109","tai to boli didi je amader jibone katota proyojan tar udhahoron tumi."
"110","happy for you indro....jak tor tension e amader sobar tension chilo ebar kintu jomiye"
"111","jatodin thakbe durgapujo r chada tatodin math kapabe amader dada.. spl ""jabar age"""
"112","ete hoar e chilo sbai jane..etai amader dadar power"
"113","amader family r almost sobai doctor to , tai ami jani oder ekjoner o hather lekha bojha jay na je likhche naki draw korche"
"114","blechhilam na eid er din chole asbo sb hall houseful hoche amader boss er power.jeet name tai alada"
"115","but producer ra tohh r coll. janabe na...tai erai vorsa amader"
"116","etai holo amader tolly king dadar power.."
"117","amadr mohon tori"
"118","amadr guru vai i mean dev da is rock"
"119","dekhte parlam na...cause amadr ekhane channel ta ashe na"
"120","aj tmi sokal 10am a dhoom music a thakbe but ami dekhte parbo na..cause amadr ekhane channel ta nei.. bad luck for me."
"121","kaustav dutta amadr asha purno holo"
"122","amadr ekhsne ural pul bhenge prar somoy kon desher manush ra jano bolechilo... ""besh hoyeche"""
"123","ekdom.je manush ta sarabochor eto vlo vlo diff movie gift kre amdr tak bday r din ta khushi rkhte prle onk happy&lt;3"
"124","mone porlo tahole amdr se jai hok, all the best. onk onk moja kore kaj koro. our well wishes are always w"
"125","mone porlo tahole amdr se jai hok, all the best. onk onk moja kore kaj koro. our well wishes are always with u"
"126","wow darun gift .mimzee amdr o chaiiiiiii!!!!! nusu darling thnks fr sharing"
"127","amdr moimonsingh e deser bari ache,smu ple asbo."
"128","ayu,tui amdr choto bon,tk bhola jai,tk bhulte pri kkhono? love u bonu &amp; take care."
"129","babul da sobai jodi apnar moto vabto tahle r amdr deshe amra, ora byapar tai thakto na."
"130","khubtaratari susto hoa jao r amdr notun notun flm gift dao r sabdhane kaj kro"
"131","amdr wat a mvie njoyed wtchng njoyed evry bit of it unfrgettble prfrmnce by"
"132","amdr wat a mvie njoyed wtchng njoyed evry bit of it unfrgettble prfrmnce by team"
"133","my sweetypie didi dekhlm hahaha justt amezing movie full sweett r jonno 10/10 love u.."
"134","tmr okhane bujhi ekhn mrng ?? heheee amdr ekhane toh noon . love u thanks fr the tweet and yes we r excited fr"
"135","..when you tell the truth but by mistake smile... sonalidi, amra oke bokhiye diyechhi eta shune kaju... -_-"
"136","thik bolecho.. shei apekkhai achi amra"
"137","lol no. chol amra banai."
"138","amra keu eisob faltu kotha man6i ne..."
"139","vikram da jnno amra khb excited,tumi kto ta excited?"
"140","puro fau kotha...amra bisas kori ne"
"141","aahaa, naah no thanks, thankful toh amra shobai."
"142","na kaukei bhole ni... didi amader asha kori kokhono-i bhulte parbe na... amra didi'r-o je khub boro fan."
"143","sir aapni kothay?? update din bngla film gulor.plz..amra to wait krchi apnar jnno dada.plzzz"
"144","amra ydr kache bsb2 chai with madhu"
"145","amra jni 2mi alpotei venge poro na 2mi sob bipoder sommokhin hyo r 2mi jite aso tai 2mi dev 2mi superstar 2my nia swapno 1000"
"146","pouchochhe,,r tar reply pete patience rakho,,,ami achi..amra sobai achi"
"147","ha setai.... amra muslim na hleo soman bhabe enjy kr6i ekhane sb frnds der sathe."
"148","berhampore e darun responce badsha r ...amra frds ra mile badsha dekhte gechilm....darun lglo darun badsha the don ."
"149","happy rathyatra:)sorry for late wish...amra wb a rath celebrate kora6i khub kora...for this we miss u:)"
"150","omg teaser tai tumi naki viku?? love u lots.. u are best..keep rocking.."
"151","ohhhh.bangladesh thako tumi"
"152","bhalo achi.... tumi kemon acho ??"
"153","are ami akta aj selfie stick niyechi kintu use parchina. mane camera r satting parchina.tumi kon camera app use koro"
"154","chiro dini tumi je amar ,,,,,, yuge yuge ami tomar e..... one man army in our tollywood...."
"155","dada tmi ek2o tension nio pujote release na kora geleo pore jokhoni rls hok na kano hit hobei hobe.."
"156","nago jaini bdw tmi kolkata te esecho kakhno?????"
"157","aj sei saturday jar jonno puro week ta wait kore thaki e tmy dekhbo bole. very happy... aj tmi ashcho bigboss-e."
"158","happy dada!! khub valo theko tmi .."
"159","in ur 2pics u r looking jst fabulous nd awsm.tmi koto vbo sbr jnno.tmr mtn manus ar ovab ai wrld a"
"160","tmi dakhte jaoni?"
"161","sir e ki korle tmi,amon dhasuu movie gift korle ufff just rockkk, nw we want to c"
"162","tmy koti koti proname dada..uffffffffff ki blbo tmr entry ta just bepok.. as a badshah just fatafati. fatiye d"
"163","aj to bd te released hocche... i'm sure tmi oder mon joy parbei parbe. eid er darun gift !"
"164","priya'r character e tmy khub valo lagche...darun acting korecho tmi... sob miliye super duper."
"165","tmy koti koti proname dada..uffffffffff ki blbo tmr entry ta just bepok.. as a badshah just fatafati. fatiye diyecho tmi !!"
"166","sir e ki korle tmi,amon dhasuu movie gift korle ufff just rockkk, nw we want to c togther plz"
"167","akdam thik bolecho tmi"
"168","trust me tmi jkhn bolle 'priya.. sudhu tomari jonyo' ami nahh sit e bose thkte parini tmr mukhe sune ghum asbena"
"169","ami fast show dekhci oh ki lagche tmy. sob baccha aache tmr kacche.tmi guru thakbe. love u boss valo kore nijer khyel rekho."
"170","dada tmi o erakom hoa gale :'( :'("
"171","tmi boss superb tmy xpln korar mto word nei..tmi na thakle seriously jomto just..nd tmi seta 1st episodei prv krle,dada u"
"172","hese gorachhi just nd da tmi boss"
"173","sandeep tomar win silver, narsingh yadav bag bronze in spanish gp: yogeshwarduttfailed to impress and retur..."
"174","gaan ta shune sona mohapatro'r theke beshi tomar kotha mone porche... arekdin shunbo eta... :d :*..."
"175","bro tomar aktu help chai"
"176","tmr da tomar serial kintu darun hochhe..besh exciting"
"177","dev da kmn acho? amazon obhijan kmn hoche? valo bhave theko ...take care...ami tomar boro fan..."
"178","good morning jeet da. gotokal 2 show dkhlam. best film of tomar acting superb! thnx a lot da."
"179","i m sure tomar theke better r keu amay teach parbena , plz tq raaji hoye jao na plzzz"
"180","lok joner ki chap.. ey jodi tomar friend hoi, oke unfriend koro tahole.. o jodi ekhane kaaj kore, eke unfriend..."
"181","enraji bhojhona jano.. twilight er dialogue mane holo tumi bishas koro je ami tomake kichu bolbona jeta tomar janar dorkar"
"182","didi tomar kono tulona hoe na. ami gorbo bodh kori ami bangla te jonme6i, ami gorbo bodh kori ei bangla te tomake pay."
"183","dada, tomar je fb account ache jantam na but tomar ei post dekhe jante parlam. like korlam. best wishes for more likes!"
"184","hi dev tumi kamon acho? tomar amazon akhan kamon cholcha.? tumi valo thako. love u"
"185","kintu address ta bc. infact tomar nickname can b bc..."
"186","tumi ki msg krecha paras tomar satha kotha bolacha. ki update diacho bujlam na"
"187","r amay tomar cafe te akta job daao."
"188","but etao thik tumi elei sobai oi ekta question e kore jabe tomay , and seta tomar bhalo lagbe na ami jani tq :("
"189","tmr pics dekhlaam param da r jnno pujo diye pujor ful chuye dicchile mtha te :) maa r por amio khb vuglaam abar:("
"190","bdw tmr fb ki name ache???"
"191","di tmr next film er name ki???? i'm so excited..."
"192","urbosi rupe tmy darun lgchelo... r tmr actng just love it drlng u r suprbbb rockkkkk"
"193","apurba hisabe tmk heavy lgchelo... tmr r jishu da ar chemistry fatafati.... fully movie.. rockk"
"194","tmr kache akta jinis jgsh korar chilo. sottie ki icchenodi ache naki ota sudhu serial r jnno set up?? plzz rpl"
"195","hi sis kmn tmr off shooting e busy epir first scared about meghlas"
"196","darun movie hyeche badsha the don.... 1st show dekhechi.... jeet da awesome. tmr dance jeet dar sathe heavy hyeche"
